,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
172427,Other Non-Compensation,Instruction,School Reported,School,Special Education,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,COMMUNICATION                 ,,,,,,,School ,,EXCEPTIONAL                   ,,,150.3,,GENERAL FUND                  ,SCHOOL OPERATING ACCOUNT      
214629,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,0.9166914766299998,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,63944.1832222,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
421968,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Poverty,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,ARRA - STIMULUS,"Teacher, Summer School ",n/a,,,ALL SCHOOLS-UNDISTRIBUTED,,TITLE I A - ARRA,,PROFESSIONAL-INSTRUCTIONAL,3132.11728,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
63361,Professional Development,ISPD,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,"TEACHER, SOC STUDIES-HIGH     ",,,,School ,,INST STAFF TRAINING SVCS      ,,,48.33,,FEDERAL DIRECT                ,INHERITING A LEGACY OF FREEDOM
391816,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Gifted,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,GIFTED AND TALENTED,GENERAL FUND,"Teacher, Elementary ",n/a,,,GIFTED AND TALENTED,,STATE - GIFTED AND TALENTED,,PROFESSIONAL-INSTRUCTIONAL,5827.84,GIFTED AND TALENTED,,REGULAR INSTRUCTION
44274,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA E-TEACHING SHELTERED ENG,,PROFESSIONAL-INSTRUCTIONAL,992.71,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
353370,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,3.92,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
90979,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Special Education,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SEVERE DISABILITIES,GENERAL FUND,"Manager, MAST ",n/a,,,SPECIAL EDUCATION,,SPECIAL ED. - SEVERE NEEDS,,ADMINISTRATOR,354.35,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
370387,Teacher Compensation,Instruction,School Reported,School,Alternative,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,CORRECTION SYSTEM INSTRUCTIONAL PROGRAMS,YOUTH SERVICES CENTER,Teacher,,,,,1.0,,,,87330.84219139999,,,
84934,Governance,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Contracted Services,Non PreK,PreK-12 Operating,Contracted Food Services,,Support Services - Administration,,,,Contracted Craft Or Trade Services *,,,Office Of The Superintendent Services*,,,-22514.79,,Special Trust,AOB  YEAR 
221662,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,TEACHER,Special Instruction,"TCHR, INTERVENTION SPEC (HH)",,,Certificated Employees Salaries And Wages,SR OTH CERTIFICATED PERSON,1.0,Hearing Handicapped *,,,95104.3849663,,General,SCHOOL BASED MANAGEMENT
163737,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",Regular,,,,,CORE MATTERS,,PROFESSIONAL-INSTRUCTIONAL,10.7,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
189552,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Classroom Supplies,,Support Services - Instructional Staff,,,,General Supplies *,,,Instruction And Curriculum Development Services *,,,-2826.88,,Special Trust,ITEMS FOUNDATION-NOV 
267132,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodian-Part Time ,Regular,,,,0.240433673469,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",5247.86566998,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
127435,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,General Supplies,Supplies and Materials,,,,Basic Educational Services - District Objective ,General Supplies,School ,,Instruction,Instruction And Curriculum,,1017.03,Basic Educational Services,Title Iv Part B  Century Community Learning Ce,
104569,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER SUPPORT PERSONNEL       ,,,CUSTODIAN                     ,,,,School ,0.75,OPERATION OF PLANT            ,,,28074.773314999995,,GENERAL FUND                  ,
338465,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,DISTRICT SPECIAL REVENUE FUNDS,Project Manager ,n/a,,,TEACHER LEARNING & LEADERSHIP,,TEACHING FELLOWS,,PROFESSIONAL-OTHER,580.98,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
392312,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Teacher, Secondary (High) ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,999.5,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
58260,School Administration,Leadership,School Reported,School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Admin Intern, Elementary ",Regular,,,,,SPECIAL PROGRAM FUNDING,,PROFESSIONAL-INSTRUCTIONAL,1467.86,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
348983,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Elementary ,,,,,1.0,,,5TH GRADE ,63171.94,UPPER ELEMENTARY GRADES PROGRAM ,General Fund,
260684,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",EMPLOYEE BENEFITS,,DISTRICT SPECIAL REVENUE FUNDS,Community School Child Care ,,,,,,,,PARAPROFESSIONAL,643.32,COMMUNITY SERVICE,,COMMUNITY SERVICES OPERATION
48346,School Supervision,Leadership,Leadership & Management,Non-School,Poverty,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,FEDERAL GDPG FUND,"Specialist, Instructional ",n/a,,,ES TEAM ,,TITLE I,,PROFESSIONAL-OTHER,5715.7152000000015,INSTRUCT STAFF TRAINING MATH,,INSTRUCTIONAL STAFF
416925,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Student Success Initiative Grant,"TEACHER, REGULAR",,Basic Educational Services - District Objective ,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER MASTER,74.92,Basic Educational Services,Intensive Reading Instruction Initiative Grant,MISCELLANEOUS 
169515,Teacher Compensation,Instruction,School Reported,School,PreK,Teacher,Benefits,PreK,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary ",Regular,,,,,TUITION BASED - ECE,,PROFESSIONAL-INSTRUCTIONAL,230.64,EARLY CHILDHOOD,,REGULAR INSTRUCTION
254845,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"CLERICAL, SCHOOL ADMIN.",,Undistributed,Salaries Or Wages For Support Personnel,School ,0.05,School Leadership,All Campus Payroll,SASI CLERICAL,1852.89304822,Undistributed,General Operating Fund,REGULAR PAY
433218,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Other Non-Compensation,Non PreK,PreK-12 Operating,Miscellaneous Operating Costs,,,,,,Fees (Not Associated With Travel),Administration - No Description Provided,,General Administration,Finance Department,,197436.5,Undistributed,General Operating Fund,
202775,Utilities,O&M,Shared Services,Non-School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating,TELEPHONE/FACSIMILE SERVICES,CHIEF ACADEMIC OFFICER, MILL LEVY,(blank),n/a,,,CHIEF ACADEMIC OFFICER,,EXCELERATOR,,UNDESIGNATED,241.28,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
29365,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,1.0499999999999998,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
235073,Enrichment,NO_LABEL,School Reported,School,NO_LABEL,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,Extracurricular Supp,,,EXTRA CURRICULAR SPO,,,,,,,,,762.79,,,
44625,Other Compensation,Instruction,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TRANSPORTATION,BUS DRIVERS,REG",,transportation - Second Runs,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Transportation,Transportation Department,BUS DRIVER,53.66,Undistributed,General Operating Fund,FIELD TRIPS
280103,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other Library Books,,Regular Instruction,,,,Library Books *,,,Middle/Junior High,,,-1293.99,,Special Trust,CTR COMM SOL BRICK MALE
173833,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TRANSPORTATION, AIDE,REGULAR",,transportation - aides,Extra Duty Pay/Overtime For Support Personnel,Undistributed,,Transportation,Transportation Department,BUS DRIVER AIDE,41.97000000000001,Undistributed,General Operating Fund,ADDL REGULAR PAY-NOT SMOOTHED
385381,Food Services,O&M,School Reported,School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Manager, Food Service II ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,344.66,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
365923,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,Miscellaneous Operating Costs,,,,,,Software License - Web Access,School ,,Instruction,Vocational,,777.04,Career And Technology,General Operating Fund,
239194,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Other Compensation,,,,,Regular Instructional Support,,District Wide Resources,0.0,,INSTRUCTIONAL COACHING,TIME CARD CERTIFIEDAddl,499.66,Support - Regular Instruction,General Purpose School,
40949,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,CUSTODIAN REGULAR,,,Extra Duty Pay/Overtime For Support Personnel,School ,,Facilities Maintenance And Operations,Custodial Department,ANY CUS WHO IS NOT A SUPER ,68.64999999999999,Undistributed,General Operating Fund,ADDL REGULAR PAY-NOT SMOOTHED
267584,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Elementary ",n/a,,,PERSONNEL-PAID LEAVE,,NON-PROJECT,,UNDESIGNATED,-190.82,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
266645,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Custodial Helper - Day ,n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,45.71,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
134377,School Administration,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating,COMMUNICATION,,PRIMARY GRADES PROGRAM ,,,,,,,INSTRUCTION,,,-0.2,PRIMARY GRADES PROGRAM ,General Fund,
336423,Curriculum Development,ISPD,Shared Services,Non-School,PreK,Non-Position,Equipment & Equipment Lease,PreK,PreK-12 Operating,NON-CAPITAL EQUIPMENT,EARLY EDUCATION,DISTRICT SPECIAL REVENUE FUNDS,(blank),n/a,,,EARLY CHILDHOOD EDUCATION,,TUITION BASED - ECE,,UNDESIGNATED,46678.96000000001,EARLY CHILDHOOD,,REGULAR INSTRUCTION
148681,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,TCHER PE (GRADE     ,,Regular Instruction,,,1.0,,,TEACHER,15385.03,Instruction - Regular,General Purpose School,
93059,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,1.5699999999999998,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
32498,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Student Success Initiative Grant,"TEACHER, REGULAR",,Basic Educational Services - District Objective ,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,117.80533425600001,Basic Educational Services,Intensive Reading Instruction Initiative Grant,EXTENDED DAYS
290321,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Elementary ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-21.21,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
173644,Substitute Compensation,Instruction,School Reported,School,Poverty,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,FEDERAL GDPG FUND - FY ,"Teacher, Short Term Sub ",Regular,,,,,TITLE I,,PROFESSIONAL-INSTRUCTIONAL,1.12,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
283236,Curriculum Development,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating,COMMUNICATION,,MISCELLANEOUS,,,,,ADMIN. SERVICES,,IMPROVEMENT OF INSTR SERV,,,1634.79,Misc,General Fund,
276909,Professional Development,ISPD,Shared Services,Non-School,Special Education,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,ARRA - STIMULUS,Teacher,n/a,,,SPECIAL EDUCATION,,IDEA ARRA,,PROFESSIONAL-INSTRUCTIONAL,73.08768,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
192211,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,Teacher,Regular,,,,,SPECIAL ED. - MILD/MODERATE,,PROFESSIONAL-INSTRUCTIONAL,558.36,SPECIAL EDUCATION-CONVERSION,,SPECIAL EDUCATION
25438,Recruitment,ISPD,Shared Services,Non-School,Unspecified,Substitute,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,HUMAN RESOURCES RECRUITMENT,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Short Term Sub ",n/a,,,HUMAN RESOURCES,,NEW TEACHER RECRUITMENT,,PROFESSIONAL-INSTRUCTIONAL,38.19672,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
270696,Professional Development,ISPD,Shared Services,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,"TEACHER, KG                   ",,,,STAFF DEV AND INSTR MEDIA     ,,INST STAFF TRAINING SVCS      ,,,47.83,,GENERAL FUND                  ,STAFF DEV AND INSTR MEDIA     
372751,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,, MILL LEVY,"Teacher, Elementary ",Regular,,,,,ARTS ED,,PROFESSIONAL-INSTRUCTIONAL,398.62,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
389456,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Librarians,,,,,Regular Instructional Support,,,0.0,,,SUBSTITUTE TEACHER,17.4299,Support - Regular Instruction,General Purpose School,
306157,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND, Locksmith ,n/a,,,MAINTENANCE,,NON-PROJECT,,UNDESIGNATED,-356.56,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
7656,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,TEACHER,Regular Instruction,"TCHR, SCNDY ENGLISH",,,Certificated Employees Salaries And Wages,SR OTH CERTIFICATED PERSON,1.0,High School,,,103317.86803700001,,General,SCHOOL BASED MANAGEMENT
338350,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",Repairs and Maintenance Services,,Community Services,,,,Property Services (Other Than Utilities) *,,,Non-Public School Services *,,,34998.81,,Auxiliary Services,AUX SERV -- MOBILE UNITS
403030,Curriculum Development,ISPD,Shared Services,Non-School,ELL,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Manager, ELA Program ",n/a,,,ENGLISH FOR SPEAKERS OF OTHER,,NON-PROJECT,,UNDESIGNATED,-523.3100000000002,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
254896,School Supervision,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,OTHER PURCHASED SERVICES,,UPPER ELEMENTARY GRADES PROGRAM ,,,,,ADMIN. SERVICES,,INSTRUCTION,,,396.62,UPPER ELEMENTARY GRADES PROGRAM ,General Fund,
326919,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0.0,EXCEPTIONAL                   ,,,168.92000000000004,,GENERAL FUND                  ,
381080,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,CLASSROOM TEACHER             ,,,"TEACHER, INTENSIVE READING    ",,,,School ,0.333333333333,BASIC (FEFP K-12)             ,,,53289.393695599996,,GENERAL FUND                  ,AVID                          
177337,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,CONTRACTOR SERVICES,BOND EXPENDITURES,BUILDING FUND,(blank),Regular,,,,,RGN  GOB,,UNDESIGNATED,17197.45,OPERATION AND MAINT OF PLANT,,OPERATION AND MAINT OF PLANT
22143,Professional Development,ISPD,Shared Services,Non-School,Special Education,TA,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,"TEACHER ASSISTANT, ID         ",,,,ESE                           ,,STAFF SERVICES                ,,,30.33,,FED THRU STATE-CASH ADVANCE   ,IDEA  PART B                  
163977,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,0.00271739130435,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,54.8580636259,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
389036,Substitute Compensation,Instruction,School Reported,School,Poverty,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0.0,INST STAFF TRAINING SVCS      ,,,152.34,,FED THRU STATE-CASH ADVANCE   ,TITLE I                       
77127,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Regular Instruction,,,0.0,,,SUBSTITUTE TEACHER,744.33,Instruction - Regular,General Purpose School,
418079,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,TCHER FOREIGN LANG (SEC),,Regular Instruction,,,1.0,,,TEACHER,44122.8899,Instruction - Regular,General Purpose School,
83523,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Personal Services - Employees Salaries and Wages,,Special Instruction,,,,Personal Services - Employees Salaries And Wages,,,Other Special *,,,71250.58,,Title  School Improvement Stimulus G, SI COMP 
334357,Extended Time & Tutoring,Instruction,School on Central Budgets,Non-School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,AFTERSCHOOL PROGRAMS,"SUMMER ED, ARTS & SPORTS - SEAS",Aide (Afterschool),,,,OFC COM & ED PROG-AFTER SCHOOL AIDES,0.025,,,,779.89,,,
114529,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,TEXTBOOKS                     ,,,,,,,School ,,BASIC (FEFP K-12)             ,,,235.38,,GENERAL FUND                  ,READING INITIATIVE            
133235,Special Population Program Management & Support,ISPD,School on Central Budgets,Non-School,Special Education,Psychologist,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,TEACHERSUP,Support Services--Pupils,PSYCHOLOGIST,,,Certificated Employees Salaries And Wages,PSYCHOLOGICAL SERVICES OFF,1.0,Psychological Services *,,,108880.265586,,General,PSYCHOLOGICAL SERVICES
372777,Curriculum Development,ISPD,Shared Services,Non-School,PreK,Other,Base Salary/Compensation,PreK,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,EARLY EDUCATION,GENERAL FUND,SFPC Liaison Specialist ,n/a,,,ALL SCHOOLS-UNDISTRIBUTED,,TUITION BASED - ECE,,PROFESSIONAL-OTHER,174.87088000000003,COMMUNITY SERVICE,,COMMUNITY SERVICES OPERATION
381149,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TEACHER, SPECIAL EDUCATION",,Game Workers,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Extracurricular Activities,Athletic Department,ATHLETIC OPTIONAL PAY,1097.82062738,Athletics And Related Activities,General Operating Fund,GAME WORK
227626,Enrichment,NO_LABEL,School Reported,School,NO_LABEL,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,Coaching Supplement,,,FOOTBALL COACH HEAD,,,,,,,,,5855.2,,,
324630,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,,,Regular Instruction,,,0.0,,,TIME CARD CERTIFIEDAddl,147.1,Instruction - Regular,General Purpose School,
18958,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, MONTESSORI",,Basic Educational Services - District Objective ,Salaries And Wages For Teachers And Other Professi,School ,0.97,Instruction,All Campus Payroll,TEACHER BACHELOR,70926.99049510004,Basic Educational Services,General Operating Fund,REGULAR PAY
358511,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,INSTRUCTIONAL SUPPORT TEAMS,GENERAL FUND,General Assignment ,n/a,,,ES TEAM ,,UNALLOC BUDGETS/SCHOOLS,,PARAPROFESSIONAL,301.37,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
288749,Substitute Compensation,Instruction,NO_LABEL,Non-School,NO_LABEL,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,,,,,,,,,,,,,4695.69,,,
103107,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Teacher Secondary (Middle) ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-821.55,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
142543,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,0.004310344827590001,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,109.80793846799999,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
207685,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SEVERE DISABILITIES,GENERAL FUND,"Teacher,Spec Ed Center Prg ",Regular,,,,,SPECIAL ED. - SEVERE NEEDS,,PROFESSIONAL-INSTRUCTIONAL,74.61,SPECIAL EDUCATION-HD ELEM,,SPECIAL EDUCATION
